Date,TTM Revenue (in billions),TTM Gross Profit (in billions),Gross Margin
2025-06-30,2.4,0.13,5.38
2025-03-31,2.46,0.13,5.07
2024-12-31,2.46,0.13,5.29
2024-09-30,2.59,0.2,7.65
2024-06-30,2.82,0.2,6.91
2024-03-31,3.06,0.17,5.62
2023-12-31,3.3,0.17,5.01
2023-09-30,3.5,0.12,3.54
2023-06-30,3.56,0.04,1.15
2023-03-31,3.71,0.11,2.99
2022-12-31,3.66,0.11,3.09
2022-09-30,3.55,0.13,3.66
2022-06-30,3.34,0.15,4.46
2022-03-31,3.05,0.14,4.68
2021-12-31,2.83,0.18,6.33
2021-09-30,2.5,0.16,6.43
2021-06-30,2.18,0.17,7.93
2021-03-31,1.85,0.12,6.23
2020-12-31,1.92,0.09,4.42
2020-09-30,2.16,0.08,3.61
2020-06-30,2.37,0.05,2.07
2020-03-31,2.61,0.02,0.69
2019-12-31,2.42,0.01,0.25
2019-09-30,1.87,-0.04,-2.04
2019-06-30,2.02,0.02,0.84
2019-03-31,2.38,0.1,3.99
2018-12-31,2.98,0.15,4.93
2018-09-30,3.44,0.21,6.06
2018-06-30,3.55,0.24,6.65
2018-03-31,3.45,0.22,6.27
2017-12-31,3.29,0.23,7.11
2017-09-30,3.61,0.31,8.68
2017-06-30,3.55,0.31,8.74
2017-03-31,3.55,0.33,9.35
2016-12-31,3.41,0.28,8.24
2016-09-30,3.22,0.21,6.55
2016-06-30,3.12,0.19,6.19
2016-03-31,2.98,0.18,6.18
2015-12-31,2.97,0.21,6.98
2015-09-30,3.06,0.29,9.56
2015-06-30,3.15,0.35,11.03
2015-03-31,3.24,0.36,11.23
2014-12-31,3.24,0.43,13.16
2014-09-30,3.12,0.4,12.92
2014-06-30,3.04,0.33,10.94
2014-03-31,3.01,0.29,9.57
2013-12-31,3.04,0.21,7.04
2013-09-30,3.21,0.14,4.45
2013-06-30,3.4,0.13,3.82
2013-03-31,3.47,0.12,3.32
2012-12-31,3.48,0.1,2.79
2012-09-30,3.52,0.11,3.04
2012-06-30,3.53,0.13,3.57
2012-03-31,3.52,0.14,4.07
2011-12-31,3.55,0.17,4.84
2011-09-30,3.39,0.17,5.08
2011-06-30,2.93,0.16,5.36
2011-03-31,2.52,0.15,6.07
2010-12-31,2.13,0.15,7.13
2010-09-30,1.81,0.15,8.05
2010-06-30,1.68,0.14,8.04
2010-03-31,1.51,0.12,7.88
2009-12-31,1.31,0.08,6.43
2009-09-30,1.06,0.05,5.02
2009-06-30,0.7,0.03,4.3
2009-03-31,0.52,0.02,4.43
2008-12-31,0.3,0.02,7.05
2008-09-30,0.19,0.02,11.11
2008-06-30,0.12,0.03,26.72
