Date,TTM Revenue,TTM Gross Profit,Gross Margin
6/30/25,$2.40 ,$0.13 ,5.38%
3/31/25,$2.46 ,$0.13 ,5.07%
12/31/24,$2.46 ,$0.13 ,5.29%
9/30/24,$2.59 ,$0.20 ,7.65%
6/30/24,$2.82 ,$0.20 ,6.91%
3/31/24,$3.06 ,$0.17 ,5.62%
12/31/23,$3.30 ,$0.17 ,5.01%
9/30/23,$3.50 ,$0.12 ,3.54%
6/30/23,$3.56 ,$0.04 ,1.15%
3/31/23,$3.71 ,$0.11 ,2.99%
12/31/22,$3.66 ,$0.11 ,3.09%
9/30/22,$3.55 ,$0.13 ,3.66%
6/30/22,$3.34 ,$0.15 ,4.46%
3/31/22,$3.05 ,$0.14 ,4.68%
12/31/21,$2.83 ,$0.18 ,6.33%
9/30/21,$2.50 ,$0.16 ,6.43%
6/30/21,$2.18 ,$0.17 ,7.93%
3/31/21,$1.85 ,$0.12 ,6.23%
12/31/20,$1.92 ,$0.09 ,4.42%
9/30/20,$2.16 ,$0.08 ,3.61%
6/30/20,$2.37 ,$0.05 ,2.07%
3/31/20,$2.61 ,$0.02 ,0.69%
12/31/19,$2.42 ,$0.01 ,0.25%
9/30/19,$1.87 ,($0.04),-2.04%
6/30/19,$2.02 ,$0.02 ,0.84%
3/31/19,$2.38 ,$0.10 ,3.99%
12/31/18,$2.98 ,$0.15 ,4.93%
9/30/18,$3.44 ,$0.21 ,6.06%
6/30/18,$3.55 ,$0.24 ,6.65%
3/31/18,$3.45 ,$0.22 ,6.27%
12/31/17,$3.29 ,$0.23 ,7.11%
9/30/17,$3.61 ,$0.31 ,8.68%
6/30/17,$3.55 ,$0.31 ,8.74%
3/31/17,$3.55 ,$0.33 ,9.35%
12/31/16,$3.41 ,$0.28 ,8.24%
9/30/16,$3.22 ,$0.21 ,6.55%
6/30/16,$3.12 ,$0.19 ,6.19%
3/31/16,$2.98 ,$0.18 ,6.18%
12/31/15,$2.97 ,$0.21 ,6.98%
9/30/15,$3.06 ,$0.29 ,9.56%
6/30/15,$3.15 ,$0.35 ,11.03%
3/31/15,$3.24 ,$0.36 ,11.23%
12/31/14,$3.24 ,$0.43 ,13.16%
9/30/14,$3.12 ,$0.40 ,12.92%
6/30/14,$3.04 ,$0.33 ,10.94%
3/31/14,$3.01 ,$0.29 ,9.57%
12/31/13,$3.04 ,$0.21 ,7.04%
9/30/13,$3.21 ,$0.14 ,4.45%
6/30/13,$3.40 ,$0.13 ,3.82%
3/31/13,$3.47 ,$0.12 ,3.32%
12/31/12,$3.48 ,$0.10 ,2.79%
9/30/12,$3.52 ,$0.11 ,3.04%
6/30/12,$3.53 ,$0.13 ,3.57%
3/31/12,$3.52 ,$0.14 ,4.07%
12/31/11,$3.55 ,$0.17 ,4.84%
9/30/11,$3.39 ,$0.17 ,5.08%
6/30/11,$2.93 ,$0.16 ,5.36%
3/31/11,$2.52 ,$0.15 ,6.07%
12/31/10,$2.13 ,$0.15 ,7.13%
9/30/10,$1.81 ,$0.15 ,8.05%
6/30/10,$1.68 ,$0.14 ,8.04%
3/31/10,$1.51 ,$0.12 ,7.88%
12/31/09,$1.31 ,$0.08 ,6.43%
9/30/09,$1.06 ,$0.05 ,5.02%
6/30/09,$0.70 ,$0.03 ,4.30%
3/31/09,$0.52 ,$0.02 ,4.43%
12/31/08,$0.30 ,$0.02 ,7.05%
9/30/08,$0.19 ,$0.02 ,11.11%
6/30/08,$0.12 ,$0.03 ,26.72%
